track_id,available_markets,popularity,genre,artist_name,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
7MXVkk9YMctZqd1Srtv4MB,KW,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
0JXXNGljqupsJaZsgSbMZV,GE,90,Rap,Miguel,Sure Thing,0.0275,0.684,195373,0.603,0.000311,B,0.191,-8.127,Minor,0.0989,81.0,4/4,0.504
3xKsf9qdS1CyvXSMEid6g8,IT,91,Children’s Music,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
1R0a2iXumgCiFb7HEZ7gUE,OM,92,Dance,Taylor Swift,Don’t Blame Me,0.106,0.615,236413,0.534,1.76e-05,A,0.0607,-6.719,Minor,0.0386,135.917,4/4,0.193
2QjOHCTQ1Jl3zawyYOpxh6,NL,93,Alternative,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
2QjOHCTQ1Jl3zawyYOpxh6,RW,93,Alternative,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
3xKsf9qdS1CyvXSMEid6g8,IN,91,Rap,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
1R0a2iXumgCiFb7HEZ7gUE,IL,92,Dance,Taylor Swift,Don’t Blame Me,0.106,0.615,236413,0.534,1.76e-05,A,0.0607,-6.719,Minor,0.0386,135.917,4/4,0.193
086myS9r57YsLbJpU0TgK9,BH,90,Indie,Arctic Monkeys,Why'd You Only Call Me When You're High?,0.0483,0.691,161124,0.631,1.13e-05,D,0.104,-6.478,Major,0.0368,92.004,4/4,0.8
561jH07mF1jHuk7KlaeF0s,TD,90,Hip-Hop,Eminem,Mockingbird,0.242,0.592,250760,0.678,0.0,E,0.182,-4.411,Minor,0.248,83.976,4/4,0.208
1R0a2iXumgCiFb7HEZ7gUE,NA,92,Dance,Taylor Swift,Don’t Blame Me,0.106,0.615,236413,0.534,1.76e-05,A,0.0607,-6.719,Minor,0.0386,135.917,4/4,0.193
7KA4W4McWYRpgf0fWsJZWB,GH,92,Pop,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62
7KA4W4McWYRpgf0fWsJZWB,CO,92,Pop,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62
3xKsf9qdS1CyvXSMEid6g8,TR,91,Pop,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
7MXVkk9YMctZqd1Srtv4MB,VU,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7MXVkk9YMctZqd1Srtv4MB,PY,94,R&B,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7MXVkk9YMctZqd1Srtv4MB,UZ,94,R&B,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
2QjOHCTQ1Jl3zawyYOpxh6,HN,93,Alternative,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
2QjOHCTQ1Jl3zawyYOpxh6,AT,93,Alternative,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
3xKsf9qdS1CyvXSMEid6g8,MX,91,Alternative,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
0JXXNGljqupsJaZsgSbMZV,DK,90,Pop,Miguel,Sure Thing,0.0275,0.684,195373,0.603,0.000311,B,0.191,-8.127,Minor,0.0989,81.0,4/4,0.504
1R0a2iXumgCiFb7HEZ7gUE,EC,92,Dance,Taylor Swift,Don’t Blame Me,0.106,0.615,236413,0.534,1.76e-05,A,0.0607,-6.719,Minor,0.0386,135.917,4/4,0.193
7MXVkk9YMctZqd1Srtv4MB,DM,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7MXVkk9YMctZqd1Srtv4MB,GN,94,R&B,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
2QjOHCTQ1Jl3zawyYOpxh6,PE,93,Pop,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
2QjOHCTQ1Jl3zawyYOpxh6,PW,93,Children’s Music,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
7MXVkk9YMctZqd1Srtv4MB,BY,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7MXVkk9YMctZqd1Srtv4MB,LC,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7MXVkk9YMctZqd1Srtv4MB,SM,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7KA4W4McWYRpgf0fWsJZWB,AR,92,Hip-Hop,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62
7MXVkk9YMctZqd1Srtv4MB,SA,94,R&B,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
0JXXNGljqupsJaZsgSbMZV,KZ,90,Pop,Miguel,Sure Thing,0.0275,0.684,195373,0.603,0.000311,B,0.191,-8.127,Minor,0.0989,81.0,4/4,0.504
7MXVkk9YMctZqd1Srtv4MB,LK,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7MXVkk9YMctZqd1Srtv4MB,BI,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7MXVkk9YMctZqd1Srtv4MB,IS,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7MXVkk9YMctZqd1Srtv4MB,NR,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
3xKsf9qdS1CyvXSMEid6g8,JP,91,Soul,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
7MXVkk9YMctZqd1Srtv4MB,AD,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7MXVkk9YMctZqd1Srtv4MB,CR,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
0JXXNGljqupsJaZsgSbMZV,TV,90,Rap,Miguel,Sure Thing,0.0275,0.684,195373,0.603,0.000311,B,0.191,-8.127,Minor,0.0989,81.0,4/4,0.504
3AJwUDP919kvQ9QcozQPxg,SE,92,Pop,Coldplay,Yellow,0.00239,0.429,266773,0.661,0.00013,B,0.234,-7.227,Major,0.0281,173.365,4/4,0.285
7MXVkk9YMctZqd1Srtv4MB,CI,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
2QjOHCTQ1Jl3zawyYOpxh6,TZ,93,Rock,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
2QjOHCTQ1Jl3zawyYOpxh6,ES,93,Children’s Music,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
3xKsf9qdS1CyvXSMEid6g8,UY,91,Children’s Music,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
7MXVkk9YMctZqd1Srtv4MB,LV,94,R&B,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7KA4W4McWYRpgf0fWsJZWB,NE,92,Hip-Hop,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62
2QjOHCTQ1Jl3zawyYOpxh6,GA,93,Alternative,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
5FVd6KXrgO9B3JPmC8OPst,GD,90,Rock,Arctic Monkeys,Do I Wanna Know?,0.186,0.548,272394,0.532,0.000263,F,0.217,-7.596,Major,0.0323,85.03,4/4,0.405
1R0a2iXumgCiFb7HEZ7gUE,CZ,92,Dance,Taylor Swift,Don’t Blame Me,0.106,0.615,236413,0.534,1.76e-05,A,0.0607,-6.719,Minor,0.0386,135.917,4/4,0.193
7MXVkk9YMctZqd1Srtv4MB,AG,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
3xKsf9qdS1CyvXSMEid6g8,CA,91,Alternative,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
2QjOHCTQ1Jl3zawyYOpxh6,BD,93,Rock,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
2QjOHCTQ1Jl3zawyYOpxh6,ET,93,Rock,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
2QjOHCTQ1Jl3zawyYOpxh6,TO,93,Rock,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
1R0a2iXumgCiFb7HEZ7gUE,HR,92,Dance,Taylor Swift,Don’t Blame Me,0.106,0.615,236413,0.534,1.76e-05,A,0.0607,-6.719,Minor,0.0386,135.917,4/4,0.193
2QjOHCTQ1Jl3zawyYOpxh6,LT,93,Pop,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
7KA4W4McWYRpgf0fWsJZWB,KE,92,Pop,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62
2QjOHCTQ1Jl3zawyYOpxh6,BR,93,Alternative,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
7MXVkk9YMctZqd1Srtv4MB,US,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
2QjOHCTQ1Jl3zawyYOpxh6,AL,93,Alternative,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
3AJwUDP919kvQ9QcozQPxg,FI,92,Pop,Coldplay,Yellow,0.00239,0.429,266773,0.661,0.00013,B,0.234,-7.227,Major,0.0281,173.365,4/4,0.285
3xKsf9qdS1CyvXSMEid6g8,MK,91,Alternative,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
7MXVkk9YMctZqd1Srtv4MB,SV,94,R&B,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7KA4W4McWYRpgf0fWsJZWB,CD,92,Hip-Hop,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62
3xKsf9qdS1CyvXSMEid6g8,AE,91,Alternative,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
2QjOHCTQ1Jl3zawyYOpxh6,UG,93,Pop,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
1R0a2iXumgCiFb7HEZ7gUE,SC,92,Dance,Taylor Swift,Don’t Blame Me,0.106,0.615,236413,0.534,1.76e-05,A,0.0607,-6.719,Minor,0.0386,135.917,4/4,0.193
2QjOHCTQ1Jl3zawyYOpxh6,SI,93,Pop,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
7KA4W4McWYRpgf0fWsJZWB,AZ,92,Hip-Hop,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62
2QjOHCTQ1Jl3zawyYOpxh6,HK,93,Pop,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
2QjOHCTQ1Jl3zawyYOpxh6,GR,93,Alternative,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
2QjOHCTQ1Jl3zawyYOpxh6,SK,93,Alternative,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
7MXVkk9YMctZqd1Srtv4MB,PL,94,R&B,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7MXVkk9YMctZqd1Srtv4MB,LY,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
2QjOHCTQ1Jl3zawyYOpxh6,AM,93,Children’s Music,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
3AJwUDP919kvQ9QcozQPxg,JO,92,Pop,Coldplay,Yellow,0.00239,0.429,266773,0.661,0.00013,B,0.234,-7.227,Major,0.0281,173.365,4/4,0.285
2QjOHCTQ1Jl3zawyYOpxh6,FJ,93,Alternative,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
0JXXNGljqupsJaZsgSbMZV,KM,90,Pop,Miguel,Sure Thing,0.0275,0.684,195373,0.603,0.000311,B,0.191,-8.127,Minor,0.0989,81.0,4/4,0.504
2QjOHCTQ1Jl3zawyYOpxh6,EG,93,Rock,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
7KA4W4McWYRpgf0fWsJZWB,GT,92,Hip-Hop,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62
7KA4W4McWYRpgf0fWsJZWB,BG,92,Hip-Hop,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62
7MXVkk9YMctZqd1Srtv4MB,KR,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
2QjOHCTQ1Jl3zawyYOpxh6,BJ,93,Pop,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
3xKsf9qdS1CyvXSMEid6g8,SZ,91,Soul,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
2QjOHCTQ1Jl3zawyYOpxh6,QA,93,Rock,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
3w3y8KPTfNeOKPiqUTakBh,TJ,91,Dance,Bruno Mars,Locked Out Of Heaven,0.049,0.726,233478,0.698,0.0,F,0.309,-4.165,Major,0.0431,143.994,4/4,0.867
3AJwUDP919kvQ9QcozQPxg,LR,92,Pop,Coldplay,Yellow,0.00239,0.429,266773,0.661,0.00013,B,0.234,-7.227,Major,0.0281,173.365,4/4,0.285
3xKsf9qdS1CyvXSMEid6g8,MT,91,R&B,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
2QjOHCTQ1Jl3zawyYOpxh6,AU,93,Pop,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
5O2P9iiztwhomNh8xkR9lJ,SR,89,Dance,One Direction,Night Changes,0.859,0.672,226600,0.52,0.0,G#,0.115,-7.747,Major,0.0353,120.001,4/4,0.37
